CCODE,Country,EVI,Exposure index,Population,Remoteness,Share of population in low elevated coastal zones ,Economic structure index,Export concentration,Shares of agriculture and forestry and fisheries,Shock index,Natural Shock index,Victims of natural disasters (%),Agricultural instability,Export instability,HAI,Health index,Prevalence of undernourishment  in total population (%),Under 5 mortality (per 1000),Maternal mortality (per 100 000 live birth),Education index,Literacy rate,Gross secondary enrolment ratio,GNI per capita ($)
MHL,Marshall Islands,66.1,82.2,53066.00,8338.02,98.10,48.81,0.72,15.77,50.02,91.33,2.67,48.02,7.61,88.19,90.54,9.00,35.40,80.60,85.85,98.27,76.61,4661.03
MRT,Mauritania,39.9,45.0,4301018.00,4473.37,19.12,37.15,0.39,24.80,34.86,46.85,4.25,2.42,11.86,46.94,68.77,5.30,81.40,601.59,25.11,45.50,30.60,1229.63
MUS,Mauritius,24.2,38.7,1262132.00,7670.69,1.41,8.68,0.21,3.57,9.69,17.72,0.01,6.62,5.50,95.27,97.79,5.20,13.70,53.36,92.75,92.71,95.70,9808.01
MEX,Mexico,17.6,18.8,127540423.00,6848.65,1.58,3.55,0.13,3.43,16.29,32.57,0.64,1.75,4.99,94.61,98.15,4.20,14.60,37.85,91.06,94.47,90.55,9882.38
FSM,Micronesia (Federated States of),58.6,78.8,104937.00,7830.68,27.29,61.11,0.76,27.02,38.43,63.51,8.18,6.99,9.00,87.47,89.32,11.00,33.30,99.57,85.61,92.40,83.22,3508.39
MNG,Mongolia,39.0,33.9,3027398.00,3921.27,0.00,32.07,0.46,14.19,44.13,74.38,8.25,10.99,9.17,91.65,89.21,19.60,17.90,43.95,94.09,98.26,91.46,3892.40
MAR,Morocco,16.3,11.3,35276786.00,2851.12,1.38,14.64,0.17,13.63,21.34,42.68,0.20,8.36,3.32,77.87,93.30,3.50,27.10,121.32,62.43,69.43,69.06,3058.23
MOZ,Mozambique,36.7,35.6,28829476.00,8047.13,5.25,30.73,0.29,24.39,37.80,58.51,3.35,7.31,10.13,45.82,62.11,26.60,71.30,489.11,29.52,50.58,32.43,564.12
MMR,Myanmar,31.7,29.5,52885223.00,4502.68,10.97,36.59,0.35,26.62,34.02,39.09,0.63,4.21,13.69,68.47,80.31,16.90,50.80,178.50,56.64,75.55,51.30,1254.93
NAM,Namibia,36.3,37.4,2479713.00,7673.00,1.09,15.13,0.27,6.77,35.24,70.13,6.36,10.05,5.10,72.54,72.42,28.80,45.20,264.74,72.65,88.27,64.84,5224.94
NRU,Nauru,58.3,78.9,11347.00,8670.22,41.98,32.88,0.63,3.16,37.71,0.00,0.00,0.98,27.62,88.30,88.58,16.00,34.60,17.10,88.02,96.50,82.64,11169.16
NPL,Nepal,28.4,25.1,28982771.00,4096.93,0.00,28.58,0.14,32.01,31.75,43.08,1.66,3.31,11.13,71.22,86.26,8.10,34.50,258.41,56.18,59.63,69.57,744.66
NIC,Nicaragua,28.9,33.1,6149928.00,6668.95,0.85,21.55,0.22,18.00,24.77,49.53,2.52,4.69,4.56,80.66,87.34,17.00,19.70,149.77,73.97,82.47,74.19,1967.00
NER,Niger,35.3,32.3,20672987.00,4349.74,0.00,48.50,0.37,39.81,38.17,65.50,7.15,8.05,8.25,35.37,64.78,11.30,91.30,553.50,5.97,15.46,20.75,393.13
NGA,Nigeria,34.2,27.2,185989640.00,4964.52,2.67,54.88,0.75,20.77,41.14,35.65,0.29,4.78,18.99,49.77,56.77,7.90,104.30,813.98,42.78,51.08,55.70,2769.64
OMN,Oman,27.1,32.6,4424762.00,4456.37,5.65,26.86,0.55,1.35,21.52,31.64,0.05,7.83,8.42,97.11,98.85,6.20,10.70,17.14,95.36,93.04,104.23,17132.74
PAK,Pakistan,21.9,15.7,193203476.00,4064.31,1.06,26.47,0.20,25.07,27.98,40.47,1.78,2.17,9.65,56.75,73.00,19.90,78.80,177.94,40.50,56.98,44.53,1502.17
PLW,Palau,76.0,75.2,21503.00,6308.38,38.21,38.66,0.72,3.55,76.82,53.65,0.30,11.38,36.31,96.57,97.78,0.00,15.90,41.99,95.37,96.59,95.75,11751.64
PAN,Panama,25.5,31.7,4034119.00,6577.96,3.01,4.08,0.14,2.82,19.33,27.61,0.24,2.27,8.32,88.15,93.82,9.30,16.40,94.49,82.48,94.09,75.56,11804.41
PNG,Papua New Guinea,36.4,36.7,8084991.00,8252.17,0.49,27.27,0.29,20.05,36.08,57.04,2.59,7.40,9.53,61.62,80.75,13.00,54.30,214.80,42.48,63.43,40.35,2732.50
PRY,Paraguay,42.5,42.7,6725308.00,8639.36,0.00,29.37,0.33,19.59,42.30,58.39,2.12,8.39,12.86,87.14,90.58,12.00,19.90,131.72,83.70,95.07,76.57,4259.70
PER,Peru,24.7,28.4,31773839.00,8197.13,0.92,14.53,0.25,7.61,21.01,42.02,1.80,2.72,4.28,94.65,95.55,7.90,15.30,68.36,93.75,94.17,95.74,6151.53
PHL,Philippines,25.1,20.5,103320222.00,5097.16,5.65,17.71,0.27,10.41,29.69,51.52,7.67,2.71,7.36,89.88,88.61,13.80,27.10,114.15,91.15,96.40,88.39,3525.05
QAT,Qatar,28.5,37.2,2569804.00,4050.93,12.83,22.48,0.48,0.15,19.75,22.77,0.00,9.93,10.02,96.69,99.79,5.00,8.50,12.63,93.59,97.75,91.17,75073.82
KOR,Republic of Korea,12.7,15.2,50791919.00,4343.81,3.04,3.82,0.15,2.27,10.29,20.34,0.08,2.22,5.07,98.93,99.83,2.50,3.40,11.01,98.02,97.97,98.88,27456.04
RWA,Rwanda,36.4,36.6,11917508.00,5764.44,0.00,38.80,0.33,30.86,36.16,50.64,1.21,6.88,11.50,54.97,66.23,41.10,38.50,290.20,43.71,68.33,36.69,706.93
KNA,Saint Kitts and Nevis,51.9,51.8,54821.00,5332.03,15.18,12.63,0.31,1.24,52.12,86.38,1.26,27.31,10.36,93.78,94.36,14.00,9.30,27.99,93.20,97.80,90.39,15372.87
LCA,Saint Lucia,41.7,45.1,178015.00,5525.79,1.61,25.22,0.50,2.79,38.24,76.49,6.58,12.32,4.55,89.88,91.47,17.00,13.30,47.82,88.28,94.80,85.14,7033.35
VCT,Saint Vincent and the Grenadines,40.5,50.3,109643.00,5592.21,8.87,21.80,0.37,7.74,30.63,53.81,2.30,6.48,7.23,94.83,97.00,6.00,16.60,44.75,92.67,89.00,106.44,6623.06
WSM,Samoa,39.7,64.1,195125.00,9567.26,17.78,20.87,0.33,9.63,15.19,30.38,0.49,1.58,4.06,94.10,97.23,3.20,17.30,51.29,90.96,98.97,84.96,4123.69
